"country_code"	"name"	"age"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
316	"Guam"	"35-39"	14.579	12.884	13.0449	12.2401	10.096	8.7609	8.726	8.583	8.491	9.345	10.9349	11.8832	12.9189	13.9085	14.8197	15.6408	16.3583	16.9622	17.4527	17.8356	18.121	18.3141	18.4292	18.4757	18.4629	18.4014	18.3172	18.2719	18.2137	18.1487
316	"Guam"	"40-44"	7.142	6.081	5.723	5.5061	4.212	3.0381	2.3229	2.148	2.2429	2.4859	2.912	3.1859	3.101	3.1788	3.238	3.2778	3.2991	3.3071	3.303	3.2903	3.2721	3.248	3.222	3.1939	3.1642	3.135	3.1072	3.094	3.082	3.0683
316	"Guam"	"45-49"	0.71	0.626	0.523	0.436	0.326	0.229	0.187	0.176	0.1561	0.167	0.254	0.3671	0.284	0.299	0.305	0.3081	0.308	0.303	0.2981	0.2889	0.2781	0.2691	0.258	0.2481	0.238	0.229	0.218	0.2121	0.208	0.203
296	"Kiribati"	"15-19"	5.43	5.43	5.43	5.43	5.43	5.39	5.3	5.14	5.045	4.95	4.2301	3.5101	2.79	2.2571	1.8509	1.5339	1.291	1.104	0.958	0.849	0.764	0.703	0.66	0.6271	0.614	0.6051	0.608	0.618	0.641	0.665
296	"Kiribati"	"20-24"	20.08	20.08	20.08	20.08	20.0799	20.21	20.46	20.95	21.23	21.51	19.56	17.6	15.65	13.8814	12.3436	11.0338	9.9317	9.0121	8.2577	7.6447	7.1551	6.7726	6.4852	6.2822	6.1549	6.0956	6.0911	6.1426	6.2377	6.379
296	"Kiribati"	"25-29"	25.7	25.7	25.7001	25.7	25.7	25.67	25.6	25.47	25.405	25.34	26.3699	27.42	28.4601	29.2399	29.8362	30.2894	30.639	30.9073	31.1206	31.2987	31.453	31.5955	31.7287	31.8586	31.985	32.1092	32.2273	32.3304	32.4251	32.5006
296	"Kiribati"	"30-34"	23.1	23.1	23.0999	23.1	23.1001	23.07	23.01	22.89	22.82	22.75	25.2201	27.6899	30.15	32.4189	34.424	36.1714	37.669	38.9354	39.9805	40.8254	41.4902	41.9834	42.3248	42.5268	42.6067	42.5826	42.4743	42.2949	42.0558	41.7726
296	"Kiribati"	"35-39"	16.22	16.22	16.2201	16.22	16.22	16.17	16.08	15.88	15.765	15.65	16.0299	16.4	16.77	16.9806	17.0984	17.1516	17.1544	17.137	17.1022	17.0632	17.0295	17.0015	16.9842	16.9773	16.9824	16.9954	17.0153	17.0362	17.0603	17.0827
296	"Kiribati"	"40-44"	8.08	8.08	8.0799	8.08	8.0801	8.05	8	7.89	7.83	7.77	6.9	6.02	5.15	4.4221	3.8169	3.3189	2.913	2.5771	2.3108	2.0919	1.917	1.78	1.673	1.5962	1.5401	1.5031	1.4829	1.4798	1.4861	1.5069
296	"Kiribati"	"45-49"	1.39	1.39	1.39	1.39	1.39	1.44	1.55	1.78	1.905	2.03	1.69	1.3601	1.03	0.8	0.63	0.5011	0.402	0.327	0.2701	0.227	0.1911	0.1641	0.1441	0.1319	0.117	0.109	0.101	0.0981	0.0939	0.0931
583	"Micronesia (Fed. States of)"	"15-19"	5.43	5.43	5.43	5.43	5.43	5.39	5.3	5.14	5.045	4.95	4.23	3.5099	2.79	2.2631	1.867	1.567	1.342	1.177	1.054	0.97	0.915	0.883	0.8719	0.8689	0.884	0.9011	0.9241	0.95	0.9811	1.0071
583	"Micronesia (Fed. States of)"	"20-24"	20.08	20.08	20.08	20.08	20.08	20.21	20.46	20.95	21.2301	21.51	19.56	17.6001	15.65	13.8974	12.4071	11.1667	10.1529	9.338	8.7027	8.2228	7.8764	7.6453	7.5109	7.4543	7.4626	7.516	7.6019	7.7147	7.8418	7.982
583	"Micronesia (Fed. States of)"	"25-29"	25.7	25.7	25.7	25.7	25.7	25.67	25.6	25.47	25.4049	25.34	26.37	27.4199	28.4601	29.235	29.822	30.2633	30.6031	30.863	31.0695	31.2378	31.3782	31.5014	31.6072	31.7021	31.7848	31.8604	31.9256	31.9781	32.0245	32.0597
583	"Micronesia (Fed. States of)"	"30-34"	23.1	23.1	23.1	23.1	23.1	23.07	23.01	22.89	22.82	22.75	25.22	27.6901	30.1501	32.4	34.3499	36.0103	37.397	38.526	39.4173	40.0906	40.5716	40.8767	41.037	41.0771	41.0194	40.8973	40.727	40.5208	40.2978	40.0668
583	"Micronesia (Fed. States of)"	"35-39"	16.22	16.22	16.22	16.22	16.22	16.17	16.08	15.88	15.7649	15.65	16.03	16.3999	16.77	16.9785	17.09	17.1367	17.134	17.1091	17.0665	17.0227	16.9798	16.9427	16.9139	16.8936	16.8802	16.8731	16.8722	16.8743	16.8799	16.8855
583	"Micronesia (Fed. States of)"	"40-44"	8.08	8.08	8.08	8.08	8.08	8.05	8	7.89	7.8301	7.77	6.9	6.02	5.1499	4.4261	3.8351	3.355	2.968	2.6579	2.416	2.2259	2.083	1.98	1.9069	1.863	1.8391	1.8293	1.8321	1.846	1.8618	1.886
583	"Micronesia (Fed. States of)"	"45-49"	1.39	1.39	1.39	1.39	1.39	1.44	1.55	1.78	1.905	2.03	1.69	1.36	1.0301	0.8	0.629	0.5009	0.403	0.3291	0.274	0.2301	0.196	0.171	0.1521	0.141	0.1299	0.1229	0.117	0.1161	0.1131	0.1129
957	"Polynesia"	"15-19"	6.7954	6.7127	6.4028	6.1612	6.0365	5.8806	5.8324	5.9898	5.6513	6.2563	5.9342	5.2908	4.9921	4.6005	4.1434	3.726	3.3751	3.0559	2.7871	2.5733	2.3951	2.2373	2.1084	2.0045	1.9192	1.8537	1.8325	1.8156	1.8124	1.8176
957	"Polynesia"	"20-24"	23.4423	23.2461	22.8471	23.7477	24.15	23.714	23.5788	23.7276	22.9149	24.2868	22.8552	20.7482	20.1412	19.0992	17.8838	16.7469	15.5789	14.5197	13.7782	13.2221	12.7634	12.3247	11.9135	11.5679	11.3229	11.167	11.0597	10.9755	10.9142	10.8836
957	"Polynesia"	"25-29"	26.0459	26.2933	25.8116	26.2827	26.5081	26.6004	26.759	27.1248	27.5875	27.1305	27.5064	28.5004	28.5088	29.3545	30.2852	30.7279	31.2207	31.3914	31.3171	31.587	31.9638	32.2483	32.3893	32.4068	32.3722	32.3659	32.3766	32.3834	32.3479	32.2562
957	"Polynesia"	"30-34"	21.2783	21.2769	21.5781	20.9071	20.7674	20.9421	21.0499	20.9986	21.4237	21.9618	23.6077	24.5612	25.2242	25.4664	26.3387	27.4178	28.1617	29.0802	29.6997	30.0159	30.521	31.1098	31.6619	32.138	32.5362	32.8608	33.1347	33.4107	33.6644	33.8806
