"country_code"	"name"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
148	"Chad"	0	-2.5	-5	-40.95	-49.05	-175.5	-131.245	1.418	-10.374	69.444	218.966	75	100	10	0	-10	-10	-10	-10	-10	-9.5	-9	-8.5	-8	-7.5	-7	-6.5	-6	-5.5	-5
178	"Congo"	0	0	0	0.5	6.944	-7.407	2.098	2	22.53	49.302	49.674	95.864	-60.001	-20.003	-9.998	-5.003	-5.003	-5.003	-5.003	-5.003	-4.756	-4.503	-4.255	-4.003	-3.754	-3.504	-3.258	-3.002	-2.755	-2.509
180	"Democratic Republic of the Congo"	0	75	122.65	241.91	27.45	100.685	-446.86	74.515	1302.404	-1006.384	-241.564	-43.426	15.06	119.303	0	-75	-75	-75	-75	-75	-71.25	-67.5	-63.75	-60	-56.25	-52.5	-48.75	-45	-41.25	-37.5
226	"Equatorial Guinea"	0	0	2.999	5.001	-70	-29.997	65.001	20	20.004	35.002	50.003	80.003	90.001	79.999	60.003	45.002	30.001	30.001	24.999	20.003	19.002	18.002	17.003	16.001	15.004	14.005	13.003	12.002	11.003	10.004
266	"Gabon"	2.999	2.999	9.41	16.188	2.999	4.999	4.999	4.999	4.999	9.566	30.783	68.72	85.442	5	5	5	5	5	5	5	4.753	4.499	4.249	4.003	3.752	3.503	3.254	3.001	2.749	2.509
678	"Sao Tome and Principe"	-9.139	-3.478	-9.152	-0.744	-2.509	-1.221	-5.999	-5.999	-5.599	-8.293	-5.599	-5.599	-5.599	-4.999	-4.753	-4.501	-4.501	-4.501	-4.501	-4.501	-4.274	-4.051	-3.823	-3.598	-3.377	-3.149	-2.925	-2.698	-2.474	-2.251
912	"Northern Africa"	-373.584	-393.051	-659.392	-870.159	-1321.873	-855.464	-362.3	-508.872	-245.92	-1631.315	-1549.532	-2430.404	-1811.29	-834.186	-634.187	-584.19	-584.19	-584.19	-584.19	-584.19	-554.972	-525.762	-496.553	-467.352	-438.14	-408.931	-379.719	-350.509	-321.298	-292.094
12	"Algeria"	-310.417	-191.853	-284.266	-121.335	-247.822	-224.833	-81.02	-93.302	-128.679	-164.413	-205.228	-357.34	-143.268	-50.002	-50.002	-50.002	-50.002	-50.002	-50.002	-50.002	-47.499	-44.999	-42.496	-40.001	-37.501	-34.999	-32.499	-29.999	-27.498	-25.001
818	"Egypt"	-50.1	-50.1	-50.1	-239.7	-546.796	-563.569	-389.781	-212.184	-460.404	-210.899	-74.464	-283.573	-275.026	-275	-275	-225.003	-225.003	-225.003	-225.003	-225.003	-213.751	-202.501	-191.253	-180.003	-168.752	-157.501	-146.252	-135	-123.748	-112.498
434	"Libya"	0	46.022	45.891	48.002	58.665	57.534	113.38	5.49	3.965	-57.368	-20.569	-118.555	-433.403	-9.997	-9.997	-9.997	-9.997	-9.997	-9.997	-9.997	-9.501	-8.998	-8.5	-8.002	-7.498	-7.002	-6.502	-6	-5.499	-5
504	"Morocco"	0	-13.001	-240.922	-477.753	-497.677	-293.328	-320.659	-418.575	-466.627	-559.38	-654.821	-565.14	-307.108	-257.096	-257.096	-257.096	-257.096	-257.096	-257.096	-257.096	-244.242	-231.386	-218.53	-205.677	-192.823	-179.966	-167.11	-154.257	-141.403	-128.55
729	"Sudan"	0	0	0	0	20.002	180	219.998	150	653.484	-633.001	-546.005	-1078.146	-589.384	-250.001	-50.002	-50.002	-50.002	-50.002	-50.002	-50.002	-47.499	-44.999	-42.496	-40.001	-37.501	-34.999	-32.499	-29.999	-27.498	-25.001
788	"Tunisia"	-18.667	-192.419	-142.495	-96.523	-97.065	-72.068	85.582	48.999	140.341	-36.804	-139.045	-32.941	-65.963	-20	-20	-20	-20	-20	-20	-20	-18.998	-17.999	-17.001	-15.998	-15.001	-13.999	-13	-12.001	-10.999	-9.999
732	"Western Sahara"	5.6	8.3	12.5	17.15	-11.18	60.8	10.2	10.7	12	30.55	90.6	5.291	2.862	27.91	27.91	27.91	27.91	27.91	27.91	27.91	26.518	25.12	23.723	22.33	20.936	19.535	18.143	16.747	15.347	13.955
913	"Southern Africa"	-20.295	-33.059	56.642	159.753	194.181	27.566	112.204	-93.989	696.268	287.116	481.201	550.23	789.129	282.767	182.767	85.003	85.003	85.003	85.003	85.003	80.751	76.5	72.244	67.999	63.743	59.505	55.249	51.002	46.749	42.508
72	"Botswana"	-5	-20	-15	-6.02	2.326	14.845	0.601	5.803	17.864	24.546	21.278	18.73	15	15	15	15	15	15	15	15	14.25	13.5	12.75	12	11.25	10.5	9.75	9	8.25	7.5
426	"Lesotho"	-20	-26	-25	-22.4	-24.048	-6.538	-25.76	-62.682	-46.345	-74.427	-40	-40	-25	-19.998	-19.998	-19.998	-19.998	-19.998	-19.998	-19.998	-19	-18.002	-17.003	-16.001	-15.003	-13.998	-13.003	-11.998	-11.001	-9.997
